Time                   ,Driver ,DriverNumber ,LapTime                ,LapNumber ,Stint ,PitOutTime             ,PitInTime              ,Sector1Time            ,Sector2Time            ,Sector3Time            ,Sector1SessionTime     ,Sector2SessionTime     ,Sector3SessionTime     ,SpeedI1 ,SpeedI2 ,SpeedFL ,SpeedST ,IsPersonalBest ,Compound  ,TyreLife ,FreshTyre ,Team              ,LapStartTime           ,LapStartDate            ,TrackStatus ,Position ,Deleted ,DeletedReason                      ,FastF1Generated ,IsAccurate ,LapTimeSeconds ,AirTemp ,Humidity ,Pressure ,Rainfall ,TrackTemp ,WindDirection ,WindSpeed ,EventName                ,Year
0 days 00:35:17.581000 ,RAI    ,           7 ,0 days 00:01:39.389000 ,      1.0 ,  1.0 ,                       ,                       ,                       ,0 days 00:00:39.399000 ,0 days 00:00:33.028000 ,                       ,0 days 00:34:44.906000 ,0 days 00:35:17.712000 ,  218.0 ,  183.0 ,  204.0 ,  309.0 ,False          ,ULTRASOFT ,     4.0 ,False     ,Ferrari           ,0 days 00:33:38.006000 ,2018-10-21 18:13:38.071 ,         12 ,     1.0 ,False   ,                                   ,False           ,False      ,        99.389 ,   21.2 ,    38.6 ,  1006.5 ,False    ,     29.3 ,          108 ,      2.5 ,United States Grand Prix ,2018
0 days 00:35:19.501000 ,HAM    ,          44 ,0 days 00:01:41.297000 ,      1.0 ,  1.0 ,                       ,                       ,                       ,0 days 00:00:39.875000 ,0 days 00:00:33.637000 ,                       ,0 days 00:34:45.913000 ,0 days 00:35:19.602000 ,  212.0 ,  183.0 ,  203.0 ,  310.0 ,False          ,SUPERSOFT ,     6.0 ,False     ,Mercedes          ,0 days 00:33:38.006000 ,2018-10-21 18:13:38.071 ,         12 ,     2.0 ,False   ,                                   ,False           ,False      ,       101.297 ,   21.2 ,    38.6 ,  1006.5 ,False    ,     29.3 ,          108 ,      2.5 ,United States Grand Prix ,2018
0 days 00:35:20.723000 ,BOT    ,          77 ,0 days 00:01:42.538000 ,      1.0 ,  1.0 ,                       ,                       ,                       ,0 days 00:00:40.075000 ,0 days 00:00:34.187000 ,                       ,0 days 00:34:46.561000 ,0 days 00:35:21.013000 ,  208.0 ,  181.0 ,  203.0 ,  319.0 ,False          ,SUPERSOFT ,     4.0 ,False     ,Mercedes          ,0 days 00:33:38.006000 ,2018-10-21 18:13:38.071 ,         12 ,     3.0 ,False   ,                                   ,False           ,False      ,       102.538 ,   21.2 ,    38.6 ,  1006.5 ,False    ,     29.3 ,          108 ,      2.5 ,United States Grand Prix ,2018
0 days 00:35:21.920000 ,RIC    ,           3 ,0 days 00:01:43.674000 ,      1.0 ,  1.0 ,                       ,                       ,                       ,0 days 00:00:40.975000 ,0 days 00:00:33.959000 ,                       ,0 days 00:34:47.979000 ,0 days 00:35:21.995000 ,  208.0 ,  183.0 ,  200.0 ,  317.0 ,False          ,SUPERSOFT ,     4.0 ,False     ,Red Bull Racing   ,0 days 00:33:38.006000 ,2018-10-21 18:13:38.071 ,         12 ,     4.0 ,False   ,                                   ,False           ,False      ,       103.674 ,   21.2 ,    38.6 ,  1006.5 ,False    ,     29.3 ,          108 ,      2.5 ,United States Grand Prix ,2018
0 days 00:35:23.570000 ,HUL    ,          27 ,0 days 00:01:45.337000 ,      1.0 ,  1.0 ,                       ,                       ,                       ,0 days 00:00:41.139000 ,0 days 00:00:34.728000 ,                       ,0 days 00:34:49.099000 ,0 days 00:35:23.650000 ,  203.0 ,  180.0 ,  203.0 ,  316.0 ,False          ,ULTRASOFT ,     4.0 ,False     ,Renault           ,0 days 00:33:38.006000 ,2018-10-21 18:13:38.071 ,         12 ,     5.0 ,False   ,                                   ,False           ,False      ,       105.337 ,   21.2 ,    38.6 ,  1006.5 ,False    ,     29.3 ,          108 ,      2.5 ,United States Grand Prix ,2018
0 days 00:35:24.350000 ,SAI    ,          55 ,0 days 00:01:46.134000 ,      1.0 ,  1.0 ,                       ,                       ,                       ,0 days 00:00:40.839000 ,0 days 00:00:35.267000 ,                       ,0 days 00:34:49.601000 ,0 days 00:35:24.447000 ,  202.0 ,  180.0 ,  206.0 ,  328.0 ,False          ,SUPERSOFT ,     1.0 ,False     ,Renault           ,0 days 00:33:38.006000 ,2018-10-21 18:13:38.071 ,         12 ,     6.0 ,False   ,                                   ,False           ,False      ,       106.134 ,   21.2 ,    38.6 ,  1006.5 ,False    ,     29.3 ,          108 ,      2.5 ,United States Grand Prix ,2018
0 days 00:35:25.445000 ,OCO    ,          31 ,0 days 00:01:47.251000 ,      1.0 ,  1.0 ,                       ,                       ,                       ,0 days 00:00:42.149000 ,0 days 00:00:34.930000 ,                       ,0 days 00:34:50.680000 ,0 days 00:35:25.588000 ,  186.0 ,  178.0 ,  201.0 ,  320.0 ,False          ,ULTRASOFT ,     4.0 ,False     ,Racing Point      ,0 days 00:33:38.006000 ,2018-10-21 18:13:38.071 ,         12 ,     7.0 ,False   ,                                   ,False           ,False      ,       107.251 ,   21.2 ,    38.6 ,  1006.5 ,False    ,     29.3 ,          108 ,      2.5 ,United States Grand Prix ,2018
0 days 00:35:26.788000 ,PER    ,          11 ,0 days 00:01:48.598000 ,      1.0 ,  1.0 ,                       ,                       ,                       ,0 days 00:00:42.409000 ,0 days 00:00:35.245000 ,                       ,0 days 00:34:51.543000 ,0 days 00:35:26.903000 ,  179.0 ,  178.0 ,  202.0 ,  323.0 ,False          ,ULTRASOFT ,     4.0 ,False     ,Racing Point      ,0 days 00:33:38.006000 ,2018-10-21 18:13:38.071 ,         12 ,     8.0 ,False   ,                                   ,False           ,False      ,       108.598 ,   21.2 ,    38.6 ,  1006.5 ,False    ,     29.3 ,          108 ,      2.5 ,United States Grand Prix ,2018
0 days 00:35:27.870000 ,VER    ,          33 ,0 days 00:01:49.681000 ,      1.0 ,  1.0 ,                       ,                       ,                       ,0 days 00:00:42.561000 ,0 days 00:00:35.050000 ,                       ,0 days 00:34:52.852000 ,0 days 00:35:28.004000 ,  178.0 ,  179.0 ,  200.0 ,  312.0 ,False          ,SOFT      ,     1.0 ,True      ,Red Bull Racing   ,0 days 00:33:38.006000 ,2018-10-21 18:13:38.071 ,         12 ,     9.0 ,False   ,                                   ,False           ,False      ,       109.681 ,   21.2 ,    38.6 ,  1006.5 ,False    ,     29.3 ,          108 ,      2.5 ,United States Grand Prix ,2018
0 days 00:35:28.081000 ,MAG    ,          20 ,0 days 00:01:49.847000 ,      1.0 ,  1.0 ,                       ,                       ,                       ,0 days 00:00:42.750000 ,0 days 00:00:35.851000 ,                       ,0 days 00:34:52.265000 ,0 days 00:35:28.168000 ,  191.0 ,  174.0 ,  205.0 ,  291.0 ,False          ,SUPERSOFT ,     1.0 ,True      ,Haas F1 Team      ,0 days 00:33:38.006000 ,2018-10-21 18:13:38.071 ,         12 ,    10.0 ,False   ,                                   ,False           ,False      ,       109.847 ,   21.2 ,    38.6 ,  1006.5 ,False    ,     29.3 ,          108 ,      2.5 ,United States Grand Prix ,2018
