raceId,driverId,lap,position,time,milliseconds
853,4,1,1,1:59.584,119584
853,4,2,1,2:21.991,141991
853,4,3,1,2:19.393,139393
853,4,4,1,1:30.838,90838
853,4,5,2,1:31.504,91504
853,4,6,2,1:31.393,91393
853,4,7,2,1:29.578,89578
853,4,8,2,1:29.256,89256
853,4,9,2,1:29.296,89296
853,4,10,2,1:29.224,89224
853,4,11,2,1:29.450,89450
853,4,12,2,1:29.305,89305
853,4,13,2,1:29.054,89054
853,4,14,2,1:29.072,89072
853,4,15,2,1:29.291,89291
853,4,16,2,1:29.355,89355
853,4,17,2,1:29.125,89125
853,4,18,2,1:29.180,89180
853,4,19,2,1:32.944,92944
853,4,20,3,1:47.383,107383
853,4,21,2,1:28.559,88559
853,4,22,2,1:28.288,88288
853,4,23,2,1:28.254,88254
853,4,24,2,1:28.134,88134
853,4,25,2,1:28.068,88068
853,4,26,2,1:27.972,87972
853,4,27,2,1:27.981,87981
853,4,28,2,1:27.763,87763
853,4,29,2,1:27.959,87959
853,4,30,2,1:27.414,87414
853,4,31,2,1:27.369,87369
853,4,32,2,1:27.646,87646
853,4,33,2,1:28.186,88186
853,4,34,2,1:31.064,91064
853,4,35,3,1:46.375,106375
853,4,36,4,1:29.335,89335
853,4,37,4,1:27.465,87465
853,4,38,3,1:27.447,87447
853,4,39,3,1:27.600,87600
853,4,40,3,1:27.406,87406
853,4,41,3,1:27.243,87243
853,4,42,3,1:27.236,87236
853,4,43,3,1:27.650,87650
853,4,44,3,1:27.840,87840
853,4,45,3,1:27.227,87227
853,4,46,3,1:27.352,87352
853,4,47,3,1:27.444,87444
853,4,48,3,1:27.232,87232
853,4,49,3,1:27.990,87990
853,4,50,3,1:27.191,87191
853,4,51,3,1:27.529,87529
853,4,52,3,1:27.243,87243
853,4,53,3,1:27.403,87403
853,20,1,2,2:00.073,120073
853,20,2,2,2:22.070,142070
853,20,3,2,2:19.306,139306
853,20,4,2,1:30.735,90735
853,20,5,1,1:30.084,90084
853,20,6,1,1:29.596,89596
853,20,7,1,1:28.846,88846
853,20,8,1,1:28.548,88548
853,20,9,1,1:28.456,88456
853,20,10,1,1:28.337,88337
853,20,11,1,1:28.589,88589
853,20,12,1,1:28.652,88652
853,20,13,1,1:28.221,88221
853,20,14,1,1:28.502,88502
853,20,15,1,1:28.585,88585
853,20,16,1,1:28.924,88924
853,20,17,1,1:28.664,88664
853,20,18,1,1:28.742,88742
853,20,19,1,1:28.827,88827
853,20,20,1,1:32.736,92736
853,20,21,1,1:46.887,106887
853,20,22,1,1:27.928,87928
853,20,23,1,1:27.882,87882
853,20,24,1,1:28.058,88058
853,20,25,1,1:27.977,87977
853,20,26,1,1:27.560,87560
853,20,27,1,1:27.673,87673
853,20,28,1,1:27.486,87486
853,20,29,1,1:27.554,87554
853,20,30,1,1:27.233,87233
853,20,31,1,1:27.289,87289
853,20,32,1,1:27.497,87497
853,20,33,1,1:27.092,87092
853,20,34,1,1:27.759,87759
853,20,35,1,1:31.213,91213
853,20,36,1,1:46.359,106359
853,20,37,1,1:27.857,87857
853,20,38,1,1:27.158,87158
853,20,39,1,1:27.004,87004
853,20,40,1,1:27.058,87058
853,20,41,1,1:27.048,87048
853,20,42,1,1:27.293,87293
853,20,43,1,1:27.282,87282
853,20,44,1,1:26.798,86798
853,20,45,1,1:27.548,87548
853,20,46,1,1:27.146,87146
853,20,47,1,1:27.473,87473
853,20,48,1,1:27.192,87192
853,20,49,1,1:26.557,86557
853,20,50,1,1:27.419,87419
853,20,51,1,1:27.333,87333
853,20,52,1,1:27.656,87656
853,20,53,1,1:30.410,90410
853,1,1,3,2:00.534,120534
853,1,2,3,2:22.512,142512
853,1,3,3,2:19.432,139432
853,1,4,4,1:31.376,91376
853,1,5,4,1:30.548,90548
853,1,6,4,1:31.605,91605
853,1,7,4,1:29.834,89834
853,1,8,4,1:29.581,89581
853,1,9,4,1:29.576,89576
853,1,10,4,1:29.530,89530
853,1,11,4,1:29.465,89465
853,1,12,4,1:30.024,90024
853,1,13,4,1:30.323,90323
853,1,14,4,1:29.100,89100
853,1,15,4,1:30.043,90043
853,1,16,4,1:30.948,90948
853,1,17,3,1:29.428,89428
853,1,18,3,1:32.664,92664
