raceId,driverId,lap,position,time,milliseconds,LapTimeSeconds
853,4,1,1,1:59.584,119584,119.584
853,4,2,1,2:21.991,141991,141.991
853,4,3,1,2:19.393,139393,139.393
853,4,4,1,1:30.838,90838,90.838
853,4,5,2,1:31.504,91504,91.504
853,4,6,2,1:31.393,91393,91.393
853,4,7,2,1:29.578,89578,89.578
853,4,8,2,1:29.256,89256,89.256
853,4,9,2,1:29.296,89296,89.296
853,4,10,2,1:29.224,89224,89.224
853,4,11,2,1:29.450,89450,89.45
853,4,12,2,1:29.305,89305,89.305
853,4,13,2,1:29.054,89054,89.054
853,4,14,2,1:29.072,89072,89.072
853,4,15,2,1:29.291,89291,89.291
853,4,16,2,1:29.355,89355,89.355
853,4,17,2,1:29.125,89125,89.125
853,4,18,2,1:29.180,89180,89.18
853,4,19,2,1:32.944,92944,92.944
853,4,20,3,1:47.383,107383,107.383
853,4,21,2,1:28.559,88559,88.559
853,4,22,2,1:28.288,88288,88.288
853,4,23,2,1:28.254,88254,88.254
853,4,24,2,1:28.134,88134,88.134
853,4,25,2,1:28.068,88068,88.068
853,4,26,2,1:27.972,87972,87.972
853,4,27,2,1:27.981,87981,87.981
853,4,28,2,1:27.763,87763,87.763
853,4,29,2,1:27.959,87959,87.959
853,4,30,2,1:27.414,87414,87.414
853,4,31,2,1:27.369,87369,87.369
853,4,32,2,1:27.646,87646,87.646
853,4,33,2,1:28.186,88186,88.186
853,4,34,2,1:31.064,91064,91.064
853,4,35,3,1:46.375,106375,106.375
853,4,36,4,1:29.335,89335,89.335
853,4,37,4,1:27.465,87465,87.465
853,4,38,3,1:27.447,87447,87.447
853,4,39,3,1:27.600,87600,87.6
853,4,40,3,1:27.406,87406,87.406
853,4,41,3,1:27.243,87243,87.243
853,4,42,3,1:27.236,87236,87.236
853,4,43,3,1:27.650,87650,87.65
853,4,44,3,1:27.840,87840,87.84
853,4,45,3,1:27.227,87227,87.227
853,4,46,3,1:27.352,87352,87.352
853,4,47,3,1:27.444,87444,87.444
853,4,48,3,1:27.232,87232,87.232
853,4,49,3,1:27.990,87990,87.99
853,4,50,3,1:27.191,87191,87.191
853,4,51,3,1:27.529,87529,87.529
853,4,52,3,1:27.243,87243,87.243
853,4,53,3,1:27.403,87403,87.403
853,20,1,2,2:00.073,120073,120.073
853,20,2,2,2:22.070,142070,142.07
853,20,3,2,2:19.306,139306,139.306
853,20,4,2,1:30.735,90735,90.735
853,20,5,1,1:30.084,90084,90.084
853,20,6,1,1:29.596,89596,89.596
853,20,7,1,1:28.846,88846,88.846
853,20,8,1,1:28.548,88548,88.548
853,20,9,1,1:28.456,88456,88.456
853,20,10,1,1:28.337,88337,88.337
853,20,11,1,1:28.589,88589,88.589
853,20,12,1,1:28.652,88652,88.652
853,20,13,1,1:28.221,88221,88.221
853,20,14,1,1:28.502,88502,88.502
853,20,15,1,1:28.585,88585,88.585
853,20,16,1,1:28.924,88924,88.924
853,20,17,1,1:28.664,88664,88.664
853,20,18,1,1:28.742,88742,88.742
853,20,19,1,1:28.827,88827,88.827
853,20,20,1,1:32.736,92736,92.736
853,20,21,1,1:46.887,106887,106.887
853,20,22,1,1:27.928,87928,87.928
853,20,23,1,1:27.882,87882,87.882
853,20,24,1,1:28.058,88058,88.058
853,20,25,1,1:27.977,87977,87.977
853,20,26,1,1:27.560,87560,87.56
853,20,27,1,1:27.673,87673,87.673
853,20,28,1,1:27.486,87486,87.486
853,20,29,1,1:27.554,87554,87.554
853,20,30,1,1:27.233,87233,87.233
853,20,31,1,1:27.289,87289,87.289
853,20,32,1,1:27.497,87497,87.497
853,20,33,1,1:27.092,87092,87.092
853,20,34,1,1:27.759,87759,87.759
853,20,35,1,1:31.213,91213,91.213
853,20,36,1,1:46.359,106359,106.359
853,20,37,1,1:27.857,87857,87.857
853,20,38,1,1:27.158,87158,87.158
853,20,39,1,1:27.004,87004,87.004
853,20,40,1,1:27.058,87058,87.058
853,20,41,1,1:27.048,87048,87.048
853,20,42,1,1:27.293,87293,87.293
853,20,43,1,1:27.282,87282,87.282
853,20,44,1,1:26.798,86798,86.798
853,20,45,1,1:27.548,87548,87.548
853,20,46,1,1:27.146,87146,87.146
853,20,47,1,1:27.473,87473,87.473
853,20,48,1,1:27.192,87192,87.192
853,20,49,1,1:26.557,86557,86.557
853,20,50,1,1:27.419,87419,87.419
853,20,51,1,1:27.333,87333,87.333
853,20,52,1,1:27.656,87656,87.656
853,20,53,1,1:30.410,90410,90.41
853,1,1,3,2:00.534,120534,120.534
853,1,2,3,2:22.512,142512,142.512
853,1,3,3,2:19.432,139432,139.432
853,1,4,4,1:31.376,91376,91.376
853,1,5,4,1:30.548,90548,90.548
853,1,6,4,1:31.605,91605,91.605
853,1,7,4,1:29.834,89834,89.834
853,1,8,4,1:29.581,89581,89.581
853,1,9,4,1:29.576,89576,89.576
853,1,10,4,1:29.530,89530,89.53
853,1,11,4,1:29.465,89465,89.465
853,1,12,4,1:30.024,90024,90.024
853,1,13,4,1:30.323,90323,90.323
853,1,14,4,1:29.100,89100,89.1
853,1,15,4,1:30.043,90043,90.043
853,1,16,4,1:30.948,90948,90.948
853,1,17,3,1:29.428,89428,89.428
853,1,18,3,1:32.664,92664,92.664
853,1,19,6,1:46.703,106703,106.703
853,1,20,6,1:28.950,88950,88.95
853,1,21,6,1:28.362,88362,88.362
853,1,22,5,1:28.679,88679,88.679
853,1,23,5,1:28.682,88682,88.682
853,1,24,5,1:28.998,88998,88.998
853,1,25,5,1:29.000,89000,89.0
853,1,26,5,1:28.328,88328,88.328
853,1,27,4,1:27.790,87790,87.79
853,1,28,4,1:28.762,88762,88.762
853,1,29,4,1:27.711,87711,87.711
853,1,30,4,1:27.638,87638,87.638
853,1,31,4,1:27.630,87630,87.63
853,1,32,4,1:27.746,87746,87.746
853,1,33,4,1:28.464,88464,88.464
853,1,34,4,1:31.404,91404,91.404
853,1,35,6,1:45.781,105781,105.781
853,1,36,6,1:27.505,87505,87.505
853,1,37,6,1:27.738,87738,87.738
853,1,38,5,1:27.906,87906,87.906
853,1,39,5,1:27.106,87106,87.106
853,1,40,5,1:26.941,86941,86.941
853,1,41,5,1:26.903,86903,86.903
853,1,42,4,1:27.000,87000,87.0
853,1,43,4,1:26.756,86756,86.756
853,1,44,4,1:26.891,86891,86.891
853,1,45,4,1:27.088,87088,87.088
853,1,46,4,1:27.168,87168,87.168
853,1,47,4,1:27.290,87290,87.29
853,1,48,4,1:26.655,86655,86.655
853,1,49,4,1:26.615,86615,86.615
853,1,50,4,1:26.867,86867,86.867
853,1,51,4,1:26.969,86969,86.969
853,1,52,4,1:26.187,86187,86.187
853,1,53,4,1:26.853,86853,86.853
853,30,1,4,2:01.354,121354,121.354
853,30,2,4,2:22.879,142879,142.879
853,30,3,4,2:18.728,138728,138.728
853,30,4,3,1:30.519,90519,90.519
853,30,5,3,1:30.319,90319,90.319
853,30,6,3,1:31.913,91913,91.913
853,30,7,3,1:29.815,89815,89.815
853,30,8,3,1:29.682,89682,89.682
853,30,9,3,1:29.570,89570,89.57
853,30,10,3,1:29.473,89473,89.473
853,30,11,3,1:29.580,89580,89.58
853,30,12,3,1:30.103,90103,90.103
853,30,13,3,1:30.132,90132,90.132
853,30,14,3,1:29.324,89324,89.324
853,30,15,3,1:30.025,90025,90.025
853,30,16,5,1:34.101,94101,94.101
853,30,17,7,1:47.904,107904,107.904
853,30,18,6,1:28.823,88823,88.823
853,30,19,5,1:28.713,88713,88.713
853,30,20,5,1:29.037,89037,89.037
853,30,21,5,1:28.474,88474,88.474
853,30,22,4,1:28.695,88695,88.695
853,30,23,4,1:28.654,88654,88.654
853,30,24,4,1:28.796,88796,88.796
853,30,25,4,1:29.001,89001,89.001
853,30,26,4,1:28.320,88320,88.32
853,30,27,5,1:28.770,88770,88.77
853,30,28,5,1:29.154,89154,89.154
853,30,29,5,1:27.991,87991,87.991
853,30,30,5,1:28.202,88202,88.202
853,30,31,5,1:27.748,87748,87.748
853,30,32,5,1:27.777,87777,87.777
853,30,33,5,1:27.920,87920,87.92
853,30,34,3,1:27.996,87996,87.996
853,30,35,2,1:27.587,87587,87.587
853,30,36,2,1:27.729,87729,87.729
853,30,37,2,1:31.041,91041,91.041
853,30,38,6,1:46.725,106725,106.725
853,30,39,6,1:28.068,88068,88.068
853,30,40,6,1:27.690,87690,87.69
853,30,41,6,1:27.599,87599,87.599
853,30,42,5,1:27.816,87816,87.816
853,30,43,5,1:27.709,87709,87.709
853,30,44,5,1:27.799,87799,87.799
853,30,45,5,1:27.639,87639,87.639
853,30,46,5,1:27.402,87402,87.402
853,30,47,5,1:27.663,87663,87.663
853,30,48,5,1:27.654,87654,87.654
853,30,49,5,1:27.597,87597,87.597
853,30,50,5,1:27.587,87587,87.587
853,30,51,5,1:27.677,87677,87.677
853,30,52,5,1:27.944,87944,87.944
853,30,53,5,1:28.431,88431,88.431
