Time,TrackTemp,Rainfall,Circuit
0 days 00:00:14.093000,26.5,False,Bahrain Grand Prix
0 days 00:01:14.084000,26.5,False,Bahrain Grand Prix
0 days 00:02:14.093000,26.5,False,Bahrain Grand Prix
0 days 00:03:14.090000,26.2,False,Bahrain Grand Prix
0 days 00:04:14.091000,26.2,False,Bahrain Grand Prix
0 days 00:05:14.093000,26.2,False,Bahrain Grand Prix
0 days 00:06:14.087000,26.1,False,Bahrain Grand Prix
0 days 00:07:14.097000,26.2,False,Bahrain Grand Prix
0 days 00:08:14.086000,26.2,False,Bahrain Grand Prix
0 days 00:09:14.100000,26.0,False,Bahrain Grand Prix
0 days 00:10:14.093000,25.8,False,Bahrain Grand Prix
0 days 00:11:14.093000,25.7,False,Bahrain Grand Prix
0 days 00:12:14.090000,25.7,False,Bahrain Grand Prix
0 days 00:13:14.099000,25.8,False,Bahrain Grand Prix
0 days 00:14:14.093000,25.8,False,Bahrain Grand Prix
0 days 00:15:14.091000,25.7,False,Bahrain Grand Prix
0 days 00:16:14.102000,25.6,False,Bahrain Grand Prix
0 days 00:17:14.102000,25.6,False,Bahrain Grand Prix
0 days 00:18:14.104000,25.6,False,Bahrain Grand Prix
0 days 00:19:14.121000,25.5,False,Bahrain Grand Prix
0 days 00:20:14.108000,25.5,False,Bahrain Grand Prix
0 days 00:21:14.111000,25.5,False,Bahrain Grand Prix
0 days 00:22:14.102000,25.4,False,Bahrain Grand Prix
0 days 00:23:14.105000,25.4,False,Bahrain Grand Prix
0 days 00:24:14.101000,25.4,False,Bahrain Grand Prix
0 days 00:25:14.101000,25.4,False,Bahrain Grand Prix
0 days 00:26:14.108000,25.4,False,Bahrain Grand Prix
0 days 00:27:14.100000,25.5,False,Bahrain Grand Prix
0 days 00:28:14.104000,25.3,False,Bahrain Grand Prix
0 days 00:29:14.105000,25.3,False,Bahrain Grand Prix
0 days 00:30:14.103000,25.0,False,Bahrain Grand Prix
0 days 00:31:14.109000,25.0,False,Bahrain Grand Prix
0 days 00:32:14.106000,24.9,False,Bahrain Grand Prix
0 days 00:33:14.112000,24.9,False,Bahrain Grand Prix
0 days 00:34:14.109000,24.9,False,Bahrain Grand Prix
0 days 00:35:14.108000,24.7,False,Bahrain Grand Prix
0 days 00:36:14.113000,24.7,False,Bahrain Grand Prix
0 days 00:37:14.113000,24.7,False,Bahrain Grand Prix
0 days 00:38:14.113000,24.6,False,Bahrain Grand Prix
0 days 00:39:14.111000,24.7,False,Bahrain Grand Prix
0 days 00:40:14.102000,24.7,False,Bahrain Grand Prix
0 days 00:41:14.117000,24.5,False,Bahrain Grand Prix
0 days 00:42:14.108000,24.5,False,Bahrain Grand Prix
0 days 00:43:14.107000,24.5,False,Bahrain Grand Prix
0 days 00:44:14.122000,24.3,False,Bahrain Grand Prix
0 days 00:45:14.117000,24.3,False,Bahrain Grand Prix
0 days 00:46:14.119000,24.3,False,Bahrain Grand Prix
0 days 00:47:14.114000,24.2,False,Bahrain Grand Prix
0 days 00:48:14.120000,24.1,False,Bahrain Grand Prix
0 days 00:49:14.118000,24.1,False,Bahrain Grand Prix
0 days 00:50:14.120000,24.2,False,Bahrain Grand Prix
0 days 00:51:14.116000,24.1,False,Bahrain Grand Prix
0 days 00:52:14.119000,24.0,False,Bahrain Grand Prix
0 days 00:53:14.125000,23.9,False,Bahrain Grand Prix
0 days 00:54:14.118000,23.8,False,Bahrain Grand Prix
0 days 00:55:14.130000,23.7,False,Bahrain Grand Prix
0 days 00:56:14.118000,23.7,False,Bahrain Grand Prix
0 days 00:57:14.122000,23.9,False,Bahrain Grand Prix
0 days 00:58:14.118000,23.9,False,Bahrain Grand Prix
0 days 00:59:14.135000,23.8,False,Bahrain Grand Prix
0 days 01:00:14.115000,23.8,False,Bahrain Grand Prix
0 days 01:01:14.131000,23.8,False,Bahrain Grand Prix
0 days 01:02:14.121000,23.8,False,Bahrain Grand Prix
0 days 01:03:14.127000,23.8,False,Bahrain Grand Prix
0 days 01:04:14.121000,23.8,False,Bahrain Grand Prix
0 days 01:05:14.127000,23.7,False,Bahrain Grand Prix
0 days 01:06:14.123000,23.6,False,Bahrain Grand Prix
0 days 01:07:14.127000,23.5,False,Bahrain Grand Prix
0 days 01:08:14.122000,23.5,False,Bahrain Grand Prix
0 days 01:09:14.126000,23.5,False,Bahrain Grand Prix
0 days 01:10:14.127000,23.5,False,Bahrain Grand Prix
0 days 01:11:14.135000,23.7,False,Bahrain Grand Prix
0 days 01:12:14.127000,23.7,False,Bahrain Grand Prix
0 days 01:13:14.142000,23.5,False,Bahrain Grand Prix
0 days 01:14:14.130000,23.5,False,Bahrain Grand Prix
0 days 01:15:14.132000,23.5,False,Bahrain Grand Prix
0 days 01:16:14.177000,23.5,False,Bahrain Grand Prix
0 days 01:17:14.141000,23.4,False,Bahrain Grand Prix
0 days 01:18:14.133000,23.5,False,Bahrain Grand Prix
0 days 01:19:14.137000,23.6,False,Bahrain Grand Prix
0 days 01:20:14.140000,23.5,False,Bahrain Grand Prix
0 days 01:21:14.145000,23.4,False,Bahrain Grand Prix
0 days 01:22:14.142000,23.3,False,Bahrain Grand Prix
0 days 01:23:14.142000,23.5,False,Bahrain Grand Prix
0 days 01:24:14.131000,23.3,False,Bahrain Grand Prix
0 days 01:25:14.135000,23.2,False,Bahrain Grand Prix
0 days 01:26:14.136000,23.3,False,Bahrain Grand Prix
0 days 01:27:14.137000,23.4,False,Bahrain Grand Prix
0 days 01:28:14.122000,23.4,False,Bahrain Grand Prix
0 days 01:29:14.144000,23.3,False,Bahrain Grand Prix
0 days 01:30:14.138000,23.3,False,Bahrain Grand Prix
0 days 01:31:14.139000,23.3,False,Bahrain Grand Prix
0 days 01:32:14.141000,23.2,False,Bahrain Grand Prix
0 days 01:33:14.145000,23.1,False,Bahrain Grand Prix
0 days 01:34:14.141000,23.1,False,Bahrain Grand Prix
0 days 01:35:14.144000,23.2,False,Bahrain Grand Prix
0 days 01:36:14.143000,23.2,False,Bahrain Grand Prix
0 days 01:37:14.151000,23.0,False,Bahrain Grand Prix
0 days 01:38:14.153000,23.0,False,Bahrain Grand Prix
0 days 01:39:14.151000,23.0,False,Bahrain Grand Prix
0 days 01:40:14.148000,23.0,False,Bahrain Grand Prix
0 days 01:41:14.154000,22.9,False,Bahrain Grand Prix
0 days 01:42:14.155000,22.9,False,Bahrain Grand Prix
0 days 01:43:14.147000,22.9,False,Bahrain Grand Prix
0 days 01:44:14.146000,22.9,False,Bahrain Grand Prix
0 days 01:45:14.166000,22.8,False,Bahrain Grand Prix
0 days 01:46:14.151000,22.8,False,Bahrain Grand Prix
0 days 01:47:14.178000,22.8,False,Bahrain Grand Prix
0 days 01:48:14.196000,22.7,False,Bahrain Grand Prix
0 days 01:49:14.206000,22.6,False,Bahrain Grand Prix
0 days 01:50:14.198000,22.7,False,Bahrain Grand Prix
0 days 01:51:14.211000,22.7,False,Bahrain Grand Prix
0 days 01:52:14.222000,22.7,False,Bahrain Grand Prix
0 days 01:53:14.241000,22.7,False,Bahrain Grand Prix
0 days 01:54:14.250000,22.7,False,Bahrain Grand Prix
0 days 01:55:14.254000,22.7,False,Bahrain Grand Prix
0 days 01:56:14.267000,22.7,False,Bahrain Grand Prix
0 days 01:57:14.264000,22.6,False,Bahrain Grand Prix
0 days 01:58:14.274000,22.6,False,Bahrain Grand Prix
0 days 01:59:14.291000,22.6,False,Bahrain Grand Prix
0 days 02:00:14.284000,22.5,False,Bahrain Grand Prix
0 days 02:01:14.291000,22.6,False,Bahrain Grand Prix
0 days 02:02:14.282000,22.6,False,Bahrain Grand Prix
0 days 02:03:14.291000,22.4,False,Bahrain Grand Prix
0 days 02:04:14.293000,22.4,False,Bahrain Grand Prix
0 days 02:05:14.296000,22.4,False,Bahrain Grand Prix
0 days 02:06:14.286000,22.3,False,Bahrain Grand Prix
0 days 02:07:14.293000,22.4,False,Bahrain Grand Prix
0 days 02:08:14.284000,22.4,False,Bahrain Grand Prix
0 days 02:09:14.283000,22.2,False,Bahrain Grand Prix
0 days 02:10:14.288000,22.2,False,Bahrain Grand Prix
0 days 02:11:14.294000,22.2,False,Bahrain Grand Prix
0 days 02:12:14.323000,22.1,False,Bahrain Grand Prix
0 days 02:13:14.314000,22.1,False,Bahrain Grand Prix
0 days 02:14:14.301000,22.0,False,Bahrain Grand Prix
0 days 02:15:14.294000,22.0,False,Bahrain Grand Prix
0 days 02:16:14.296000,21.9,False,Bahrain Grand Prix
0 days 02:17:14.300000,21.9,False,Bahrain Grand Prix
0 days 02:18:14.299000,22.0,False,Bahrain Grand Prix
0 days 02:19:14.302000,22.0,False,Bahrain Grand Prix
0 days 02:20:14.303000,21.9,False,Bahrain Grand Prix
0 days 02:21:14.295000,21.9,False,Bahrain Grand Prix
0 days 02:22:14.301000,22.0,False,Bahrain Grand Prix
0 days 02:23:14.293000,22.0,False,Bahrain Grand Prix
0 days 02:24:14.299000,21.9,False,Bahrain Grand Prix
0 days 02:25:14.302000,21.9,False,Bahrain Grand Prix
0 days 02:26:14.302000,21.9,False,Bahrain Grand Prix
0 days 02:27:14.309000,21.9,False,Bahrain Grand Prix
0 days 02:28:14.305000,21.9,False,Bahrain Grand Prix
0 days 02:29:14.305000,21.9,False,Bahrain Grand Prix
0 days 02:30:14.302000,21.9,False,Bahrain Grand Prix
0 days 02:31:14.307000,22.0,False,Bahrain Grand Prix
0 days 02:32:14.300000,21.9,False,Bahrain Grand Prix
0 days 02:33:14.300000,21.9,False,Bahrain Grand Prix
0 days 02:34:14.313000,21.9,False,Bahrain Grand Prix
0 days 02:35:14.305000,21.9,False,Bahrain Grand Prix
0 days 02:36:14.319000,21.9,False,Bahrain Grand Prix
0 days 00:00:08.340000,33.6,False,Saudi Arabian Grand Prix
0 days 00:01:08.337000,33.6,False,Saudi Arabian Grand Prix
0 days 00:02:08.335000,33.4,False,Saudi Arabian Grand Prix
0 days 00:03:08.344000,33.3,False,Saudi Arabian Grand Prix
0 days 00:04:08.357000,33.3,False,Saudi Arabian Grand Prix
0 days 00:05:08.362000,33.5,False,Saudi Arabian Grand Prix
0 days 00:06:08.356000,33.5,False,Saudi Arabian Grand Prix
0 days 00:07:08.373000,33.4,False,Saudi Arabian Grand Prix
0 days 00:08:08.380000,33.4,False,Saudi Arabian Grand Prix
0 days 00:09:08.380000,33.4,False,Saudi Arabian Grand Prix
0 days 00:10:08.384000,33.3,False,Saudi Arabian Grand Prix
0 days 00:11:08.374000,33.1,False,Saudi Arabian Grand Prix
0 days 00:12:08.379000,33.2,False,Saudi Arabian Grand Prix
0 days 00:13:08.381000,33.2,False,Saudi Arabian Grand Prix
0 days 00:14:08.382000,33.4,False,Saudi Arabian Grand Prix
0 days 00:15:08.385000,33.4,False,Saudi Arabian Grand Prix
0 days 00:16:08.376000,33.4,False,Saudi Arabian Grand Prix
0 days 00:17:08.391000,33.1,False,Saudi Arabian Grand Prix
0 days 00:18:08.385000,33.2,False,Saudi Arabian Grand Prix
0 days 00:19:08.398000,33.2,False,Saudi Arabian Grand Prix
0 days 00:20:08.388000,33.1,False,Saudi Arabian Grand Prix
0 days 00:21:08.387000,33.2,False,Saudi Arabian Grand Prix
0 days 00:22:08.381000,33.1,False,Saudi Arabian Grand Prix
0 days 00:23:08.394000,32.9,False,Saudi Arabian Grand Prix
0 days 00:24:08.392000,32.8,False,Saudi Arabian Grand Prix
0 days 00:25:08.393000,32.8,False,Saudi Arabian Grand Prix
0 days 00:26:08.393000,32.9,False,Saudi Arabian Grand Prix
0 days 00:27:08.394000,33.3,False,Saudi Arabian Grand Prix
0 days 00:28:08.388000,32.9,False,Saudi Arabian Grand Prix
0 days 00:29:08.392000,32.6,False,Saudi Arabian Grand Prix
0 days 00:30:08.392000,32.5,False,Saudi Arabian Grand Prix
0 days 00:31:08.396000,32.5,False,Saudi Arabian Grand Prix
0 days 00:32:08.396000,32.4,False,Saudi Arabian Grand Prix
0 days 00:33:08.398000,32.2,False,Saudi Arabian Grand Prix
0 days 00:34:08.383000,32.2,False,Saudi Arabian Grand Prix
0 days 00:35:08.397000,32.2,False,Saudi Arabian Grand Prix
0 days 00:36:08.388000,32.3,False,Saudi Arabian Grand Prix
0 days 00:37:08.398000,32.3,False,Saudi Arabian Grand Prix
0 days 00:38:08.403000,31.9,False,Saudi Arabian Grand Prix
0 days 00:39:08.399000,31.9,False,Saudi Arabian Grand Prix
0 days 00:40:08.381000,32.0,False,Saudi Arabian Grand Prix
0 days 00:41:08.410000,32.0,False,Saudi Arabian Grand Prix
0 days 00:42:08.404000,31.9,False,Saudi Arabian Grand Prix
0 days 00:43:08.414000,31.9,False,Saudi Arabian Grand Prix
0 days 00:44:08.413000,31.7,False,Saudi Arabian Grand Prix
0 days 00:45:08.434000,32.0,False,Saudi Arabian Grand Prix
0 days 00:46:08.449000,32.0,False,Saudi Arabian Grand Prix
0 days 00:47:08.470000,32.0,False,Saudi Arabian Grand Prix
0 days 00:48:08.482000,31.9,False,Saudi Arabian Grand Prix
0 days 00:49:08.475000,32.0,False,Saudi Arabian Grand Prix
0 days 00:50:08.521000,31.9,False,Saudi Arabian Grand Prix
0 days 00:51:08.501000,31.7,False,Saudi Arabian Grand Prix
0 days 00:52:08.506000,31.7,False,Saudi Arabian Grand Prix
0 days 00:53:08.503000,31.7,False,Saudi Arabian Grand Prix
0 days 00:54:08.500000,31.7,False,Saudi Arabian Grand Prix
0 days 00:55:08.507000,31.7,False,Saudi Arabian Grand Prix
0 days 00:56:08.494000,31.9,False,Saudi Arabian Grand Prix
0 days 00:57:08.493000,31.7,False,Saudi Arabian Grand Prix
0 days 00:58:08.506000,31.7,False,Saudi Arabian Grand Prix
0 days 00:59:08.506000,31.5,False,Saudi Arabian Grand Prix
0 days 01:00:08.558000,31.5,False,Saudi Arabian Grand Prix
0 days 01:01:08.543000,31.5,False,Saudi Arabian Grand Prix
0 days 01:02:08.539000,31.5,False,Saudi Arabian Grand Prix
0 days 01:03:08.540000,31.7,False,Saudi Arabian Grand Prix
0 days 01:04:08.530000,31.7,False,Saudi Arabian Grand Prix
0 days 01:05:08.561000,31.7,False,Saudi Arabian Grand Prix
0 days 01:06:08.554000,31.7,False,Saudi Arabian Grand Prix
0 days 01:07:08.580000,31.7,False,Saudi Arabian Grand Prix
0 days 01:08:08.576000,32.2,False,Saudi Arabian Grand Prix
0 days 01:09:08.587000,31.5,False,Saudi Arabian Grand Prix
0 days 01:10:08.603000,31.4,False,Saudi Arabian Grand Prix
0 days 01:11:08.608000,31.4,False,Saudi Arabian Grand Prix
0 days 01:12:08.624000,31.5,False,Saudi Arabian Grand Prix
0 days 01:13:08.640000,31.5,False,Saudi Arabian Grand Prix
0 days 01:14:08.656000,31.5,False,Saudi Arabian Grand Prix
0 days 01:15:08.664000,31.5,False,Saudi Arabian Grand Prix
0 days 01:16:08.670000,31.4,False,Saudi Arabian Grand Prix
0 days 01:17:08.664000,31.4,False,Saudi Arabian Grand Prix
0 days 01:18:08.674000,31.5,False,Saudi Arabian Grand Prix
0 days 01:19:08.681000,31.5,False,Saudi Arabian Grand Prix
0 days 01:20:08.678000,31.7,False,Saudi Arabian Grand Prix
0 days 01:21:08.674000,31.4,False,Saudi Arabian Grand Prix
0 days 01:22:08.679000,31.2,False,Saudi Arabian Grand Prix
0 days 01:23:08.715000,31.6,False,Saudi Arabian Grand Prix
0 days 01:24:08.716000,31.7,False,Saudi Arabian Grand Prix
0 days 01:25:08.722000,31.6,False,Saudi Arabian Grand Prix
0 days 01:26:08.726000,31.3,False,Saudi Arabian Grand Prix
0 days 01:27:08.724000,31.6,False,Saudi Arabian Grand Prix
0 days 01:28:08.732000,31.1,False,Saudi Arabian Grand Prix
0 days 01:29:08.726000,30.9,False,Saudi Arabian Grand Prix
0 days 01:30:08.724000,31.1,False,Saudi Arabian Grand Prix
0 days 01:31:08.735000,30.8,False,Saudi Arabian Grand Prix
0 days 01:32:08.723000,30.9,False,Saudi Arabian Grand Prix
0 days 01:33:08.723000,30.9,False,Saudi Arabian Grand Prix
0 days 01:34:08.733000,30.6,False,Saudi Arabian Grand Prix
0 days 01:35:08.732000,30.9,False,Saudi Arabian Grand Prix
0 days 01:36:08.717000,30.7,False,Saudi Arabian Grand Prix
0 days 01:37:08.726000,30.7,False,Saudi Arabian Grand Prix
0 days 01:38:08.737000,30.8,False,Saudi Arabian Grand Prix
0 days 01:39:08.742000,30.8,False,Saudi Arabian Grand Prix
0 days 01:40:08.759000,31.3,False,Saudi Arabian Grand Prix
0 days 01:41:08.774000,31.4,False,Saudi Arabian Grand Prix
0 days 01:42:08.770000,31.2,False,Saudi Arabian Grand Prix
0 days 01:43:08.800000,31.2,False,Saudi Arabian Grand Prix
0 days 01:44:08.802000,31.2,False,Saudi Arabian Grand Prix
0 days 01:45:08.817000,30.7,False,Saudi Arabian Grand Prix
0 days 01:46:08.813000,31.2,False,Saudi Arabian Grand Prix
0 days 01:47:08.813000,31.0,False,Saudi Arabian Grand Prix
0 days 01:48:08.815000,31.0,False,Saudi Arabian Grand Prix
0 days 01:49:08.834000,30.8,False,Saudi Arabian Grand Prix
0 days 01:50:08.818000,30.9,False,Saudi Arabian Grand Prix
0 days 01:51:08.834000,31.1,False,Saudi Arabian Grand Prix
0 days 01:52:08.814000,31.1,False,Saudi Arabian Grand Prix
0 days 01:53:08.821000,31.1,False,Saudi Arabian Grand Prix
0 days 01:54:08.817000,30.9,False,Saudi Arabian Grand Prix
0 days 01:55:08.824000,30.9,False,Saudi Arabian Grand Prix
0 days 01:56:08.807000,30.9,False,Saudi Arabian Grand Prix
0 days 01:57:08.816000,31.0,False,Saudi Arabian Grand Prix
0 days 01:58:08.823000,30.8,False,Saudi Arabian Grand Prix
0 days 01:59:08.830000,30.8,False,Saudi Arabian Grand Prix
0 days 02:00:08.828000,30.4,False,Saudi Arabian Grand Prix
0 days 02:01:08.825000,30.4,False,Saudi Arabian Grand Prix
0 days 02:02:08.843000,30.4,False,Saudi Arabian Grand Prix
0 days 02:03:08.826000,30.4,False,Saudi Arabian Grand Prix
0 days 02:04:08.829000,30.4,False,Saudi Arabian Grand Prix
0 days 02:05:08.814000,30.7,False,Saudi Arabian Grand Prix
0 days 02:06:08.830000,30.4,False,Saudi Arabian Grand Prix
0 days 02:07:08.832000,30.2,False,Saudi Arabian Grand Prix
0 days 02:08:08.835000,30.2,False,Saudi Arabian Grand Prix
0 days 02:09:08.831000,30.2,False,Saudi Arabian Grand Prix
0 days 02:10:08.832000,29.9,False,Saudi Arabian Grand Prix
