Driver,LapNumber,LapTime,Compound,TyreLife,Circuit
VER,1.0,0 days 00:01:37.284000,SOFT,4.0,Bahrain Grand Prix
VER,2.0,0 days 00:01:36.296000,SOFT,5.0,Bahrain Grand Prix
VER,3.0,0 days 00:01:36.753000,SOFT,6.0,Bahrain Grand Prix
VER,4.0,0 days 00:01:36.647000,SOFT,7.0,Bahrain Grand Prix
VER,5.0,0 days 00:01:37.173000,SOFT,8.0,Bahrain Grand Prix
VER,6.0,0 days 00:01:37.092000,SOFT,9.0,Bahrain Grand Prix
VER,7.0,0 days 00:01:37.038000,SOFT,10.0,Bahrain Grand Prix
VER,8.0,0 days 00:01:37.024000,SOFT,11.0,Bahrain Grand Prix
VER,9.0,0 days 00:01:37.229000,SOFT,12.0,Bahrain Grand Prix
VER,10.0,0 days 00:01:36.960000,SOFT,13.0,Bahrain Grand Prix
VER,11.0,0 days 00:01:37.085000,SOFT,14.0,Bahrain Grand Prix
VER,12.0,0 days 00:01:37.045000,SOFT,15.0,Bahrain Grand Prix
VER,13.0,0 days 00:01:37.030000,SOFT,16.0,Bahrain Grand Prix
VER,14.0,0 days 00:01:37.028000,SOFT,17.0,Bahrain Grand Prix
VER,15.0,0 days 00:01:37.011000,SOFT,18.0,Bahrain Grand Prix
VER,16.0,0 days 00:01:37.168000,SOFT,19.0,Bahrain Grand Prix
VER,17.0,0 days 00:01:39.896000,SOFT,20.0,Bahrain Grand Prix
VER,19.0,0 days 00:01:35.283000,HARD,2.0,Bahrain Grand Prix
VER,20.0,0 days 00:01:35.160000,HARD,3.0,Bahrain Grand Prix
VER,21.0,0 days 00:01:35.316000,HARD,4.0,Bahrain Grand Prix
VER,22.0,0 days 00:01:35.204000,HARD,5.0,Bahrain Grand Prix
VER,23.0,0 days 00:01:35.216000,HARD,6.0,Bahrain Grand Prix
VER,24.0,0 days 00:01:35.289000,HARD,7.0,Bahrain Grand Prix
VER,25.0,0 days 00:01:35.342000,HARD,8.0,Bahrain Grand Prix
VER,26.0,0 days 00:01:35.223000,HARD,9.0,Bahrain Grand Prix
VER,27.0,0 days 00:01:35.581000,HARD,10.0,Bahrain Grand Prix
VER,28.0,0 days 00:01:35.477000,HARD,11.0,Bahrain Grand Prix
VER,29.0,0 days 00:01:35.793000,HARD,12.0,Bahrain Grand Prix
VER,30.0,0 days 00:01:35.771000,HARD,13.0,Bahrain Grand Prix
VER,31.0,0 days 00:01:35.679000,HARD,14.0,Bahrain Grand Prix
VER,32.0,0 days 00:01:35.886000,HARD,15.0,Bahrain Grand Prix
VER,33.0,0 days 00:01:35.863000,HARD,16.0,Bahrain Grand Prix
VER,34.0,0 days 00:01:36.133000,HARD,17.0,Bahrain Grand Prix
VER,35.0,0 days 00:01:36.018000,HARD,18.0,Bahrain Grand Prix
VER,36.0,0 days 00:01:36.205000,HARD,19.0,Bahrain Grand Prix
VER,37.0,0 days 00:01:39.234000,HARD,20.0,Bahrain Grand Prix
VER,39.0,0 days 00:01:32.608000,SOFT,2.0,Bahrain Grand Prix
VER,40.0,0 days 00:01:36.589000,SOFT,3.0,Bahrain Grand Prix
VER,41.0,0 days 00:01:35.290000,SOFT,4.0,Bahrain Grand Prix
VER,42.0,0 days 00:01:34.667000,SOFT,5.0,Bahrain Grand Prix
VER,43.0,0 days 00:01:34.151000,SOFT,6.0,Bahrain Grand Prix
VER,44.0,0 days 00:01:34.531000,SOFT,7.0,Bahrain Grand Prix
VER,45.0,0 days 00:01:34.249000,SOFT,8.0,Bahrain Grand Prix
VER,46.0,0 days 00:01:34.193000,SOFT,9.0,Bahrain Grand Prix
VER,47.0,0 days 00:01:34.239000,SOFT,10.0,Bahrain Grand Prix
VER,48.0,0 days 00:01:34.350000,SOFT,11.0,Bahrain Grand Prix
VER,49.0,0 days 00:01:34.403000,SOFT,12.0,Bahrain Grand Prix
VER,50.0,0 days 00:01:34.783000,SOFT,13.0,Bahrain Grand Prix
VER,51.0,0 days 00:01:34.340000,SOFT,14.0,Bahrain Grand Prix
VER,52.0,0 days 00:01:34.906000,SOFT,15.0,Bahrain Grand Prix
VER,53.0,0 days 00:01:35.600000,SOFT,16.0,Bahrain Grand Prix
VER,54.0,0 days 00:01:35.334000,SOFT,17.0,Bahrain Grand Prix
VER,55.0,0 days 00:01:35.184000,SOFT,18.0,Bahrain Grand Prix
VER,56.0,0 days 00:01:34.671000,SOFT,19.0,Bahrain Grand Prix
VER,57.0,0 days 00:01:34.923000,SOFT,20.0,Bahrain Grand Prix
PER,1.0,0 days 00:01:40.053000,SOFT,4.0,Bahrain Grand Prix
PER,2.0,0 days 00:01:36.541000,SOFT,5.0,Bahrain Grand Prix
PER,3.0,0 days 00:01:37.297000,SOFT,6.0,Bahrain Grand Prix
PER,4.0,0 days 00:01:37.722000,SOFT,7.0,Bahrain Grand Prix
PER,5.0,0 days 00:01:38.044000,SOFT,8.0,Bahrain Grand Prix
PER,6.0,0 days 00:01:37.823000,SOFT,9.0,Bahrain Grand Prix
PER,7.0,0 days 00:01:37.821000,SOFT,10.0,Bahrain Grand Prix
PER,8.0,0 days 00:01:37.838000,SOFT,11.0,Bahrain Grand Prix
PER,9.0,0 days 00:01:37.596000,SOFT,12.0,Bahrain Grand Prix
PER,10.0,0 days 00:01:37.630000,SOFT,13.0,Bahrain Grand Prix
PER,11.0,0 days 00:01:37.836000,SOFT,14.0,Bahrain Grand Prix
PER,12.0,0 days 00:01:40.277000,SOFT,15.0,Bahrain Grand Prix
PER,14.0,0 days 00:01:35.606000,HARD,2.0,Bahrain Grand Prix
PER,15.0,0 days 00:01:36.815000,HARD,3.0,Bahrain Grand Prix
PER,16.0,0 days 00:01:35.783000,HARD,4.0,Bahrain Grand Prix
PER,17.0,0 days 00:01:36.454000,HARD,5.0,Bahrain Grand Prix
PER,18.0,0 days 00:01:36.311000,HARD,6.0,Bahrain Grand Prix
PER,19.0,0 days 00:01:36.038000,HARD,7.0,Bahrain Grand Prix
PER,20.0,0 days 00:01:36.278000,HARD,8.0,Bahrain Grand Prix
PER,21.0,0 days 00:01:36.165000,HARD,9.0,Bahrain Grand Prix
PER,22.0,0 days 00:01:36.037000,HARD,10.0,Bahrain Grand Prix
PER,23.0,0 days 00:01:36.249000,HARD,11.0,Bahrain Grand Prix
PER,24.0,0 days 00:01:36.211000,HARD,12.0,Bahrain Grand Prix
PER,25.0,0 days 00:01:36.344000,HARD,13.0,Bahrain Grand Prix
PER,26.0,0 days 00:01:36.347000,HARD,14.0,Bahrain Grand Prix
