Time            ,Driver ,DriverNumber ,LapTime         ,LapNumber ,Stint ,PitOutTime      ,PitInTime       ,Sector1Time     ,Sector2Time     ,Sector3Time     ,Sector1SessionTime ,Sector2SessionTime ,Sector3SessionTime ,SpeedI1 ,SpeedI2 ,SpeedFL ,SpeedST ,IsPersonalBest ,Compound  ,TyreLife ,FreshTyre ,Team              ,LapStartTime    ,LapStartDate            ,TrackStatus ,Position ,Deleted ,DeletedReason                  ,FastF1Generated ,IsAccurate ,LapTimeSeconds ,AirTemp ,Humidity ,Pressure ,Rainfall ,TrackTemp ,WindDirection ,WindSpeed ,EventName          ,Year
00:20:17.350000 ,HAR    ,          28 ,                ,      1.0 ,  1.0 ,                ,                ,                ,                ,                ,                   ,                   ,                   ,        ,        ,        ,        ,False          ,SUPERSOFT ,     1.0 ,True      ,Toro Rosso        ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,    16.0 ,False   ,                               ,True            ,False      ,       110.478 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
00:20:17.350000 ,RAI    ,           7 ,00:01:47.025000 ,      1.0 ,      ,                ,                ,                ,00:00:29.317000 ,00:00:48.145000 ,                   ,00:19:29.228000    ,00:20:17.476000    ,  310.0 ,  307.0 ,  212.0 ,  286.0 ,False          ,nan       ,         ,True      ,Ferrari           ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     1.0 ,False   ,                               ,False           ,False      ,       107.025 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
00:20:20.803000 ,HAM    ,          44 ,00:01:50.478000 ,      1.0 ,      ,                ,                ,                ,00:00:30.140000 ,00:00:50.522000 ,                   ,00:19:30.337000    ,00:20:20.920000    ,  333.0 ,  323.0 ,  156.0 ,  297.0 ,False          ,nan       ,         ,True      ,Mercedes          ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     3.0 ,False   ,                               ,False           ,False      ,       110.478 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
00:20:21.366000 ,VER    ,          33 ,00:01:51.041000 ,      1.0 ,      ,                ,                ,                ,00:00:30.492000 ,00:00:49.734000 ,                   ,00:19:32.820000    ,00:20:21.480000    ,  324.0 ,  316.0 ,  172.0 ,  294.0 ,False          ,nan       ,         ,True      ,Red Bull Racing   ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     4.0 ,False   ,                               ,False           ,False      ,       111.041 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
00:20:22.565000 ,BOT    ,          77 ,00:01:52.240000 ,      1.0 ,      ,                ,                ,                ,00:00:31.145000 ,00:00:49.794000 ,                   ,00:19:32.828000    ,00:20:22.682000    ,  320.0 ,  328.0 ,  168.0 ,  264.0 ,False          ,nan       ,         ,True      ,Mercedes          ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     5.0 ,False   ,                               ,False           ,False      ,       112.24  ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
00:20:23.718000 ,GRO    ,           8 ,00:01:53.393000 ,      1.0 ,      ,                ,                ,                ,00:00:31.464000 ,00:00:50.665000 ,                   ,00:19:33.272000    ,00:20:23.837000    ,  326.0 ,  328.0 ,  165.0 ,  273.0 ,False          ,nan       ,         ,True      ,Haas F1 Team      ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     6.0 ,False   ,                               ,False           ,False      ,       113.393 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
00:20:24.955000 ,SAI    ,          55 ,00:01:54.630000 ,      1.0 ,      ,                ,                ,                ,00:00:31.482000 ,00:00:51.742000 ,                   ,00:19:33.674000    ,00:20:25.073000    ,        ,  334.0 ,  158.0 ,  261.0 ,False          ,nan       ,         ,True      ,Renault           ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     7.0 ,False   ,                               ,False           ,False      ,       114.63  ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
00:20:26.051000 ,OCO    ,          31 ,00:01:55.726000 ,      1.0 ,      ,                ,                ,                ,00:00:32.044000 ,00:00:52.118000 ,                   ,00:19:33.962000    ,00:20:26.198000    ,        ,  334.0 ,  175.0 ,  250.0 ,False          ,nan       ,         ,True      ,Racing Point      ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     8.0 ,False   ,                               ,False           ,False      ,       115.726 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
00:20:26.840000 ,STR    ,          18 ,00:01:56.515000 ,      1.0 ,      ,                ,                ,                ,00:00:32.465000 ,00:00:52.353000 ,                   ,00:19:34.526000    ,00:20:26.951000    ,        ,  316.0 ,  211.0 ,  260.0 ,False          ,nan       ,         ,True      ,Williams          ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,    10.0 ,False   ,                               ,False           ,False      ,       116.515 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
00:20:27.779000 ,SIR    ,          35 ,00:01:57.454000 ,      1.0 ,      ,                ,                ,                ,00:00:32.466000 ,00:00:52.986000 ,                   ,00:19:34.826000    ,00:20:27.886000    ,  333.0 ,  323.0 ,  218.0 ,  254.0 ,False          ,nan       ,         ,True      ,Williams          ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,    12.0 ,False   ,                               ,False           ,False      ,       117.454 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
