Driver ,DriverNumber ,LapNumber ,Stint ,Compound  ,TyreLife ,FreshTyre ,Team              ,LapStartTime    ,LapStartDate            ,TrackStatus ,Position ,LapTimeSeconds ,AirTemp ,Humidity ,Pressure ,Rainfall ,TrackTemp ,WindDirection ,WindSpeed ,EventName          ,Year
HAR    ,          28 ,      1.0 ,  1.0 ,SUPERSOFT ,     1.0 ,True      ,Toro Rosso        ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,    16.0 ,       110.478 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
RAI    ,           7 ,      1.0 ,  1.0 ,SUPERSOFT ,     2.0 ,True      ,Ferrari           ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     1.0 ,       107.025 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
HAM    ,          44 ,      1.0 ,  1.0 ,SUPERSOFT ,     3.0 ,True      ,Mercedes          ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     3.0 ,       110.478 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
VER    ,          33 ,      1.0 ,  1.0 ,SUPERSOFT ,     3.0 ,True      ,Red Bull Racing   ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     4.0 ,       111.041 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
BOT    ,          77 ,      1.0 ,  1.0 ,SUPERSOFT ,     3.0 ,True      ,Mercedes          ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     5.0 ,       112.24  ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
GRO    ,           8 ,      1.0 ,  1.0 ,SUPERSOFT ,     3.0 ,True      ,Haas F1 Team      ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     6.0 ,       113.393 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
SAI    ,          55 ,      1.0 ,  1.0 ,SUPERSOFT ,     3.0 ,True      ,Renault           ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     7.0 ,       114.63  ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
OCO    ,          31 ,      1.0 ,  1.0 ,SUPERSOFT ,     3.0 ,True      ,Racing Point      ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,     8.0 ,       115.726 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
STR    ,          18 ,      1.0 ,  1.0 ,SUPERSOFT ,     3.0 ,True      ,Williams          ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,    10.0 ,       116.515 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
SIR    ,          35 ,      1.0 ,  1.0 ,SUPERSOFT ,     0.0 ,True      ,Williams          ,00:18:30.135000 ,2018-09-02 13:13:30.160 ,        126 ,    12.0 ,       117.454 ,   21.6 ,    66.8 ,   995.4 ,True     ,     29.5 ,            0 ,      0.0 ,Italian Grand Prix ,2018
