Driver,LapNumber,Time,LapTime,Compound,TyreLife,Circuit
VER,1,01:01:37.510,00:01:37.284,SOFT,4,Bahrain Grand Prix
VER,2,01:03:13.806,00:01:36.296,SOFT,5,Bahrain Grand Prix
VER,3,01:04:50.559,00:01:36.753,SOFT,6,Bahrain Grand Prix
VER,4,01:06:27.206,00:01:36.647,SOFT,7,Bahrain Grand Prix
VER,5,01:08:04.379,00:01:37.173,SOFT,8,Bahrain Grand Prix
VER,6,01:09:41.471,00:01:37.092,SOFT,9,Bahrain Grand Prix
VER,7,01:11:18.509,00:01:37.038,SOFT,10,Bahrain Grand Prix
VER,8,01:12:55.533,00:01:37.024,SOFT,11,Bahrain Grand Prix
VER,9,01:14:32.762,00:01:37.229,SOFT,12,Bahrain Grand Prix
VER,10,01:16:09.722,00:01:36.960,SOFT,13,Bahrain Grand Prix
VER,11,01:17:46.807,00:01:37.085,SOFT,14,Bahrain Grand Prix
VER,12,01:19:23.852,00:01:37.045,SOFT,15,Bahrain Grand Prix
VER,13,01:21:00.882,00:01:37.030,SOFT,16,Bahrain Grand Prix
VER,14,01:22:37.910,00:01:37.028,SOFT,17,Bahrain Grand Prix
VER,15,01:24:14.921,00:01:37.011,SOFT,18,Bahrain Grand Prix
VER,16,01:25:52.089,00:01:37.168,SOFT,19,Bahrain Grand Prix
VER,17,01:27:31.985,00:01:39.896,SOFT,20,Bahrain Grand Prix
VER,19,01:31:05.122,00:01:35.283,HARD,2,Bahrain Grand Prix
VER,20,01:32:40.282,00:01:35.160,HARD,3,Bahrain Grand Prix
VER,21,01:34:15.598,00:01:35.316,HARD,4,Bahrain Grand Prix
VER,22,01:35:50.802,00:01:35.204,HARD,5,Bahrain Grand Prix
VER,23,01:37:26.018,00:01:35.216,HARD,6,Bahrain Grand Prix
VER,24,01:39:01.307,00:01:35.289,HARD,7,Bahrain Grand Prix
VER,25,01:40:36.649,00:01:35.342,HARD,8,Bahrain Grand Prix
VER,26,01:42:11.872,00:01:35.223,HARD,9,Bahrain Grand Prix
VER,27,01:43:47.453,00:01:35.581,HARD,10,Bahrain Grand Prix
VER,28,01:45:22.930,00:01:35.477,HARD,11,Bahrain Grand Prix
VER,29,01:46:58.723,00:01:35.793,HARD,12,Bahrain Grand Prix
VER,30,01:48:34.494,00:01:35.771,HARD,13,Bahrain Grand Prix
VER,31,01:50:10.173,00:01:35.679,HARD,14,Bahrain Grand Prix
VER,32,01:51:46.059,00:01:35.886,HARD,15,Bahrain Grand Prix
VER,33,01:53:21.922,00:01:35.863,HARD,16,Bahrain Grand Prix
VER,34,01:54:58.055,00:01:36.133,HARD,17,Bahrain Grand Prix
VER,35,01:56:34.073,00:01:36.018,HARD,18,Bahrain Grand Prix
VER,36,01:58:10.278,00:01:36.205,HARD,19,Bahrain Grand Prix
VER,37,01:59:49.512,00:01:39.234,HARD,20,Bahrain Grand Prix
VER,39,02:03:18.565,00:01:32.608,SOFT,2,Bahrain Grand Prix
VER,40,02:04:55.154,00:01:36.589,SOFT,3,Bahrain Grand Prix
VER,41,02:06:30.444,00:01:35.290,SOFT,4,Bahrain Grand Prix
VER,42,02:08:05.111,00:01:34.667,SOFT,5,Bahrain Grand Prix
VER,43,02:09:39.262,00:01:34.151,SOFT,6,Bahrain Grand Prix
