raceId,driverId,lap,position,time,milliseconds,LapTimeSeconds
237,44,1,17,1:44.940,104940,104.94
237,44,2,15,1:32.657,92657,92.657
204,44,1,15,1:41.484,101484,101.484
204,44,2,15,1:30.306,90306,90.306
204,44,3,15,1:30.341,90341,90.341
204,44,4,15,1:29.884,89884,89.884
204,44,5,16,1:31.409,91409,91.409
204,44,6,16,1:30.088,90088,90.088
204,44,7,16,1:29.962,89962,89.962
204,44,8,19,1:37.400,97400,97.4
204,44,9,22,1:57.823,117823,117.823
204,44,10,22,1:28.395,88395,88.395
204,44,11,21,1:28.459,88459,88.459
204,44,12,21,1:29.037,89037,89.037
204,44,13,20,1:34.341,94341,94.341
204,44,14,19,8:04.875,484875,484.875
204,44,15,19,1:32.212,92212,92.212
187,44,1,14,1:39.594,99594,99.594
187,44,2,13,1:31.434,91434,91.434
187,44,3,13,1:29.383,89383,89.383
187,44,4,14,1:30.839,90839,90.839
187,44,5,14,1:28.090,88090,88.09
187,44,6,14,1:27.502,87502,87.502
187,44,7,14,1:27.750,87750,87.75
187,44,8,14,1:28.948,88948,88.948
187,44,9,13,1:30.077,90077,90.077
187,44,10,14,1:28.454,88454,88.454
187,44,11,13,1:26.775,86775,86.775
187,44,12,13,1:26.597,86597,86.597
187,44,13,13,1:26.616,86616,86.616
187,44,14,13,1:26.873,86873,86.873
187,44,15,13,1:27.533,87533,87.533
187,44,16,14,1:30.239,90239,90.239
187,44,17,15,1:46.134,106134,106.134
187,44,18,15,1:28.557,88557,88.557
187,44,19,15,1:26.746,86746,86.746
187,44,20,15,1:26.688,86688,86.688
187,44,21,15,1:26.636,86636,86.636
187,44,22,15,1:26.643,86643,86.643
187,44,23,15,1:26.895,86895,86.895
187,44,24,15,1:26.629,86629,86.629
187,44,25,14,1:28.485,88485,88.485
187,44,26,14,1:26.439,86439,86.439
187,44,27,14,1:26.450,86450,86.45
187,44,28,12,1:27.074,87074,87.074
187,44,29,12,1:26.608,86608,86.608
187,44,30,11,1:26.487,86487,86.487
187,44,31,11,1:25.953,85953,85.953
187,44,32,11,1:28.735,88735,88.735
187,44,33,12,1:47.069,107069,107.069
187,44,34,12,1:26.937,86937,86.937
187,44,35,12,1:27.058,87058,87.058
187,44,36,12,1:27.215,87215,87.215
187,44,37,12,1:27.044,87044,87.044
187,44,38,12,1:27.320,87320,87.32
187,44,39,12,1:26.745,86745,86.745
187,44,40,12,1:26.650,86650,86.65
187,44,41,11,1:26.656,86656,86.656
187,44,42,11,1:26.607,86607,86.607
187,44,43,11,1:26.574,86574,86.574
187,44,44,11,1:26.218,86218,86.218
187,44,45,11,1:26.644,86644,86.644
187,44,46,11,1:26.433,86433,86.433
187,44,47,11,1:26.522,86522,86.522
187,44,48,11,1:26.237,86237,86.237
187,44,49,11,1:26.161,86161,86.161
187,44,50,11,1:26.086,86086,86.086
187,44,51,11,1:26.075,86075,86.075
187,44,52,11,1:26.464,86464,86.464
155,44,1,14,1:41.624,101624,101.624
155,44,2,14,1:30.547,90547,90.547
155,44,3,14,1:29.577,89577,89.577
155,44,4,14,1:29.347,89347,89.347
155,44,5,14,1:30.002,90002,90.002
155,44,6,13,1:30.658,90658,90.658
155,44,7,12,1:29.686,89686,89.686
155,44,8,12,1:28.662,88662,88.662
155,44,9,12,1:28.841,88841,88.841
155,44,10,12,1:28.664,88664,88.664
155,44,11,12,1:29.247,89247,89.247
155,44,12,12,1:28.888,88888,88.888
155,44,13,12,1:29.591,89591,89.591
155,44,14,12,1:29.527,89527,89.527
155,44,15,12,1:29.223,89223,89.223
155,44,16,12,1:29.524,89524,89.524
155,44,17,12,1:29.649,89649,89.649
155,44,18,12,1:28.917,88917,88.917
155,44,19,11,1:28.659,88659,88.659
155,44,20,10,1:29.011,89011,89.011
155,44,21,10,1:28.548,88548,88.548
155,44,22,10,1:28.957,88957,88.957
155,44,23,9,1:29.479,89479,89.479
155,44,24,9,1:28.605,88605,88.605
155,44,25,9,1:28.410,88410,88.41
155,44,26,9,1:29.694,89694,89.694
155,44,27,8,1:28.846,88846,88.846
155,44,28,8,1:27.025,87025,87.025
155,44,29,8,1:27.063,87063,87.063
155,44,30,8,1:27.016,87016,87.016
155,44,31,8,1:26.386,86386,86.386
155,44,32,8,1:30.249,90249,90.249
155,44,33,9,1:52.626,112626,112.626
155,44,34,9,1:27.729,87729,87.729
155,44,35,9,1:27.191,87191,87.191
155,44,36,9,1:27.470,87470,87.47
155,44,37,9,1:27.442,87442,87.442
155,44,38,9,1:27.384,87384,87.384
155,44,39,9,1:27.115,87115,87.115
155,44,40,9,1:27.123,87123,87.123
155,44,41,9,1:29.282,89282,89.282
155,44,42,9,1:27.095,87095,87.095
155,44,43,9,1:27.196,87196,87.196
155,44,44,9,1:27.514,87514,87.514
155,44,45,9,1:29.293,89293,89.293
155,44,46,9,1:27.572,87572,87.572
155,44,47,9,1:27.677,87677,87.677
155,44,48,9,1:27.480,87480,87.48
155,44,49,9,1:27.418,87418,87.418
155,44,50,9,1:26.887,86887,86.887
155,44,51,9,1:27.315,87315,87.315
155,44,52,9,1:27.475,87475,87.475
138,44,1,9,1:34.406,94406,94.406
138,44,2,9,1:27.576,87576,87.576
138,44,3,9,1:27.929,87929,87.929
138,44,4,9,1:27.596,87596,87.596
138,44,5,8,1:27.777,87777,87.777
138,44,6,8,1:27.507,87507,87.507
138,44,7,7,1:27.012,87012,87.012
138,44,8,7,1:27.221,87221,87.221
138,44,9,7,1:27.612,87612,87.612
138,44,10,7,1:27.156,87156,87.156
138,44,11,7,1:27.358,87358,87.358
138,44,12,6,1:27.844,87844,87.844
138,44,13,6,1:25.846,85846,85.846
138,44,14,6,1:25.760,85760,85.76
138,44,15,6,1:25.335,85335,85.335
138,44,16,6,1:25.643,85643,85.643
138,44,17,6,1:25.570,85570,85.57
138,44,18,6,1:26.347,86347,86.347
